Trace2,
Freq,,Amp,,
               35050,Hz,              -65.57, dBm,
               35200,Hz,              -65.69, dBm,
               35350,Hz,              -65.81, dBm,
               35500,Hz,              -65.99, dBm,
               35650,Hz,              -66.14, dBm,
               35800,Hz,              -66.33, dBm,
               35950,Hz,              -66.44, dBm,
               36100,Hz,              -66.56, dBm,
               36250,Hz,              -66.49, dBm,
               36400,Hz,              -66.44, dBm,
               36550,Hz,              -66.39, dBm,
               36700,Hz,              -66.51, dBm,
               36850,Hz,              -66.65, dBm,
               37000,Hz,              -66.84, dBm,
               37150,Hz,              -66.99, dBm,
               37300,Hz,              -67.19, dBm,
               37450,Hz,              -67.28, dBm,
               37600,Hz,              -67.40, dBm,
               37750,Hz,              -67.37, dBm,
               37900,Hz,              -67.39, dBm,
               38050,Hz,              -67.32, dBm,
               38200,Hz,              -67.26, dBm,
               38350,Hz,              -67.17, dBm,
               38500,Hz,              -67.15, dBm,
               38650,Hz,              -67.15, dBm,
               38800,Hz,              -67.27, dBm,
               38950,Hz,              -67.34, dBm,
               39100,Hz,              -67.42, dBm,
               39250,Hz,              -67.40, dBm,
               39400,Hz,              -67.39, dBm,
               39550,Hz,              -67.34, dBm,
               39700,Hz,              -67.35, dBm,
               39850,Hz,              -67.27, dBm,
               40000,Hz,              -67.26, dBm,
               40150,Hz,              -67.27, dBm,
               40300,Hz,              -67.34, dBm,
               40450,Hz,              -67.35, dBm,
               40600,Hz,              -67.39, dBm,
               40750,Hz,              -67.40, dBm,
               40900,Hz,              -67.45, dBm,
               41050,Hz,              -67.44, dBm,
               41200,Hz,              -67.45, dBm,
               41350,Hz,              -67.44, dBm,
               41500,Hz,              -67.55, dBm,
               41650,Hz,              -67.62, dBm,
               41800,Hz,              -67.67, dBm,
               41950,Hz,              -67.64, dBm,
               42100,Hz,              -67.70, dBm,
               42250,Hz,              -67.77, dBm,
               42400,Hz,              -67.92, dBm,
               42550,Hz,              -67.96, dBm,
               42700,Hz,              -68.00, dBm,
               42850,Hz,              -67.97, dBm,
               43000,Hz,              -67.96, dBm,
               43150,Hz,              -67.86, dBm,
               43300,Hz,              -67.80, dBm,
               43450,Hz,              -67.75, dBm,
               43600,Hz,              -67.79, dBm,
               43750,Hz,              -67.82, dBm,
               43900,Hz,              -67.93, dBm,
               44050,Hz,              -68.02, dBm,
