Trace2,
Freq,,Amp,,
               35050,Hz,              -68.23, dBm,
               35200,Hz,              -68.36, dBm,
               35350,Hz,              -68.45, dBm,
               35500,Hz,              -68.57, dBm,
               35650,Hz,              -68.62, dBm,
               35800,Hz,              -68.66, dBm,
               35950,Hz,              -68.55, dBm,
               36100,Hz,              -68.44, dBm,
               36250,Hz,              -68.32, dBm,
               36400,Hz,              -68.28, dBm,
               36550,Hz,              -68.29, dBm,
               36700,Hz,              -68.39, dBm,
               36850,Hz,              -68.48, dBm,
               37000,Hz,              -68.64, dBm,
               37150,Hz,              -68.79, dBm,
               37300,Hz,              -68.97, dBm,
               37450,Hz,              -69.03, dBm,
               37600,Hz,              -69.06, dBm,
               37750,Hz,              -69.06, dBm,
               37900,Hz,              -69.13, dBm,
               38050,Hz,              -69.15, dBm,
               38200,Hz,              -69.17, dBm,
               38350,Hz,              -69.16, dBm,
               38500,Hz,              -69.14, dBm,
               38650,Hz,              -69.03, dBm,
               38800,Hz,              -68.95, dBm,
               38950,Hz,              -68.82, dBm,
               39100,Hz,              -68.76, dBm,
               39250,Hz,              -68.70, dBm,
               39400,Hz,              -68.69, dBm,
               39550,Hz,              -68.67, dBm,
               39700,Hz,              -68.72, dBm,
               39850,Hz,              -68.76, dBm,
               40000,Hz,              -68.88, dBm,
               40150,Hz,              -68.95, dBm,
               40300,Hz,              -69.06, dBm,
               40450,Hz,              -69.11, dBm,
               40600,Hz,              -69.18, dBm,
               40750,Hz,              -69.17, dBm,
               40900,Hz,              -69.11, dBm,
               41050,Hz,              -68.90, dBm,
               41200,Hz,              -68.72, dBm,
               41350,Hz,              -68.56, dBm,
               41500,Hz,              -68.52, dBm,
               41650,Hz,              -68.60, dBm,
               41800,Hz,              -68.82, dBm,
               41950,Hz,              -69.04, dBm,
               42100,Hz,              -69.28, dBm,
               42250,Hz,              -69.41, dBm,
               42400,Hz,              -69.55, dBm,
               42550,Hz,              -69.60, dBm,
               42700,Hz,              -69.70, dBm,
               42850,Hz,              -69.77, dBm,
               43000,Hz,              -69.88, dBm,
               43150,Hz,              -69.94, dBm,
               43300,Hz,              -70.00, dBm,
               43450,Hz,              -69.94, dBm,
               43600,Hz,              -69.90, dBm,
               43750,Hz,              -69.86, dBm,
               43900,Hz,              -69.91, dBm,
               44050,Hz,              -69.99, dBm,
               44200,Hz,              -70.16, dBm,
               44350,Hz,              -70.26, dBm,
               44500,Hz,              -70.34, dBm,
               44650,Hz,              -70.29, dBm,
               44800,Hz,              -70.19, dBm,
               44950,Hz,              -70.02, dBm,
               45100,Hz,              -69.90, dBm,
               45250,Hz,              -69.73, dBm,
               45400,Hz,              -69.62, dBm,
               45550,Hz,              -69.52, dBm,
               45700,Hz,              -69.52, dBm,
               45850,Hz,              -69.58, dBm,
               46000,Hz,              -69.68, dBm,
               46150,Hz,              -69.77, dBm,
               46300,Hz,              -69.92, dBm,
               46450,Hz,              -69.98, dBm,
               46600,Hz,              -70.02, dBm,
               46750,Hz,              -69.99, dBm,
               46900,Hz,              -69.99, dBm,
               47050,Hz,              -69.94, dBm,
               47200,Hz,              -69.90, dBm,
               47350,Hz,              -69.77, dBm,
               47500,Hz,              -69.64, dBm,
               47650,Hz,              -69.48, dBm,
               47800,Hz,              -69.34, dBm,
               47950,Hz,              -69.18, dBm,
               48100,Hz,              -69.08, dBm,
               48250,Hz,              -68.98, dBm,
               48400,Hz,              -68.96, dBm,
               48550,Hz,              -68.90, dBm,
               48700,Hz,              -68.88, dBm,
               48850,Hz,              -68.79, dBm,
               49000,Hz,              -68.69, dBm,
               49150,Hz,              -68.50, dBm,
               49300,Hz,              -68.31, dBm,
               49450,Hz,              -68.04, dBm,
               49600,Hz,              -67.77, dBm,
               49750,Hz,              -67.44, dBm,
               49900,Hz,              -67.11, dBm,
               50050,Hz,              -66.70, dBm,
               50200,Hz,              -66.32, dBm,
               50350,Hz,              -65.89, dBm,
               50500,Hz,              -65.50, dBm,
               50650,Hz,              -64.95, dBm,
               50800,Hz,              -64.36, dBm,
               50950,Hz,              -63.56, dBm,
               51100,Hz,              -62.72, dBm,
               51250,Hz,              -61.81, dBm,
               51400,Hz,              -61.02, dBm,
               51550,Hz,              -60.29, dBm,
               51700,Hz,              -59.71, dBm,
               51850,Hz,              -59.25, dBm,
               52000,Hz,              -59.02, dBm,
               52150,Hz,              -58.98, dBm,
               52300,Hz,              -59.20, dBm,
               52450,Hz,              -59.67, dBm,
               52600,Hz,              -60.46, dBm,
               52750,Hz,              -61.50, dBm,
               52900,Hz,              -62.73, dBm,
               53050,Hz,              -63.93, dBm,
               53200,Hz,              -65.17, dBm,
               53350,Hz,              -66.13, dBm,
               53500,Hz,              -66.96, dBm,
               53650,Hz,              -67.50, dBm,
               53800,Hz,              -68.03, dBm,
               53950,Hz,              -68.51, dBm,
               54100,Hz,              -69.00, dBm,
               54250,Hz,              -69.32, dBm,
               54400,Hz,              -69.57, dBm,
               54550,Hz,              -69.66, dBm,
               54700,Hz,              -69.72, dBm,
               54850,Hz,              -69.72, dBm,
               55000,Hz,              -69.77, dBm,
               55150,Hz,              -69.83, dBm,
               55300,Hz,              -69.99, dBm,
               55450,Hz,              -70.15, dBm,
               55600,Hz,              -70.35, dBm,
               55750,Hz,              -70.52, dBm,
               55900,Hz,              -70.76, dBm,
               56050,Hz,              -70.93, dBm,
               56200,Hz,              -71.05, dBm,
               56350,Hz,              -71.06, dBm,
               56500,Hz,              -71.08, dBm,
               56650,Hz,              -70.99, dBm,
               56800,Hz,              -70.89, dBm,
               56950,Hz,              -70.70, dBm,
               57100,Hz,              -70.56, dBm,
               57250,Hz,              -70.48, dBm,
               57400,Hz,              -70.47, dBm,
               57550,Hz,              -70.51, dBm,
               57700,Hz,              -70.69, dBm,
               57850,Hz,              -70.92, dBm,
               58000,Hz,              -71.22, dBm,
               58150,Hz,              -71.41, dBm,
               58300,Hz,              -71.55, dBm,
               58450,Hz,              -71.54, dBm,
               58600,Hz,              -71.49, dBm,
               58750,Hz,              -71.39, dBm,
               58900,Hz,              -71.34, dBm,
               59050,Hz,              -71.30, dBm,
               59200,Hz,              -71.39, dBm,
               59350,Hz,              -71.53, dBm,
               59500,Hz,              -71.71, dBm,
               59650,Hz,              -71.79, dBm,
               59800,Hz,              -71.86, dBm,
