Trace2,
Freq,,Amp,,
              200000,Hz,              -72.57, dBm,
              200666,Hz,              -72.47, dBm,
              201332,Hz,              -72.37, dBm,
              201998,Hz,              -72.33, dBm,
              202664,Hz,              -72.35, dBm,
              203330,Hz,              -72.29, dBm,
              203996,Hz,              -72.17, dBm,
              204662,Hz,              -72.06, dBm,
              205328,Hz,              -72.03, dBm,
              205994,Hz,              -72.08, dBm,
              206660,Hz,              -72.21, dBm,
              207326,Hz,              -72.36, dBm,
              207992,Hz,              -72.46, dBm,
              208658,Hz,              -72.49, dBm,
              209324,Hz,              -72.43, dBm,
              209990,Hz,              -72.31, dBm,
              210656,Hz,              -72.20, dBm,
              211322,Hz,              -72.17, dBm,
              211988,Hz,              -72.18, dBm,
              212654,Hz,              -72.17, dBm,
              213320,Hz,              -72.08, dBm,
              213986,Hz,              -71.95, dBm,
              214652,Hz,              -71.76, dBm,
              215318,Hz,              -71.52, dBm,
              215984,Hz,              -71.28, dBm,
              216650,Hz,              -71.07, dBm,
              217316,Hz,              -70.96, dBm,
              217982,Hz,              -70.92, dBm,
              218648,Hz,              -70.97, dBm,
              219314,Hz,              -71.03, dBm,
              219980,Hz,              -71.06, dBm,
              220646,Hz,              -71.06, dBm,
              221312,Hz,              -71.06, dBm,
              221978,Hz,              -71.07, dBm,
              222644,Hz,              -71.10, dBm,
              223310,Hz,              -71.16, dBm,
              223976,Hz,              -71.30, dBm,
              224642,Hz,              -71.58, dBm,
              225308,Hz,              -71.94, dBm,
              225974,Hz,              -72.28, dBm,
              226640,Hz,              -72.44, dBm,
              227306,Hz,              -72.48, dBm,
              227972,Hz,              -72.52, dBm,
              228638,Hz,              -72.61, dBm,
              229304,Hz,              -72.76, dBm,
              229970,Hz,              -72.94, dBm,
              230636,Hz,              -73.12, dBm,
              231302,Hz,              -73.22, dBm,
              231968,Hz,              -73.24, dBm,
              232634,Hz,              -73.20, dBm,
              233300,Hz,              -73.18, dBm,
              233966,Hz,              -73.23, dBm,
              234632,Hz,              -73.34, dBm,
              235298,Hz,              -73.43, dBm,
              235964,Hz,              -73.43, dBm,
              236630,Hz,              -73.32, dBm,
              237296,Hz,              -73.19, dBm,
              237962,Hz,              -73.13, dBm,
              238628,Hz,              -73.12, dBm,
              239294,Hz,              -73.09, dBm,
              239960,Hz,              -73.00, dBm,
              240626,Hz,              -72.90, dBm,
              241292,Hz,              -72.82, dBm,
              241958,Hz,              -72.74, dBm,
              242624,Hz,              -72.64, dBm,
              243290,Hz,              -72.53, dBm,
              243956,Hz,              -72.39, dBm,
              244622,Hz,              -72.14, dBm,
              245288,Hz,              -71.73, dBm,
              245954,Hz,              -71.14, dBm,
              246620,Hz,              -70.29, dBm,
              247286,Hz,              -69.16, dBm,
              247952,Hz,              -67.83, dBm,
              248618,Hz,              -66.41, dBm,
              249284,Hz,              -65.00, dBm,
              249950,Hz,              -63.64, dBm,
              250616,Hz,              -62.40, dBm,
              251282,Hz,              -61.30, dBm,
              251948,Hz,              -60.31, dBm,
              252614,Hz,              -59.48, dBm,
              253280,Hz,              -58.86, dBm,
              253946,Hz,              -58.50, dBm,
              254612,Hz,              -58.46, dBm,
              255278,Hz,              -58.75, dBm,
              255944,Hz,              -59.41, dBm,
              256610,Hz,              -60.39, dBm,
              257276,Hz,              -61.67, dBm,
              257942,Hz,              -63.16, dBm,
              258608,Hz,              -64.73, dBm,
              259274,Hz,              -66.28, dBm,
              259940,Hz,              -67.76, dBm,
              260606,Hz,              -69.16, dBm,
              261272,Hz,              -70.32, dBm,
              261938,Hz,              -71.03, dBm,
              262604,Hz,              -71.20, dBm,
              263270,Hz,              -71.09, dBm,
              263936,Hz,              -71.05, dBm,
              264602,Hz,              -71.16, dBm,
              265268,Hz,              -71.31, dBm,
              265934,Hz,              -71.37, dBm,
              266600,Hz,              -71.33, dBm,
              267266,Hz,              -71.16, dBm,
              267932,Hz,              -70.94, dBm,
              268598,Hz,              -70.72, dBm,
              269264,Hz,              -70.51, dBm,
              269930,Hz,              -70.38, dBm,
              270596,Hz,              -70.39, dBm,
              271262,Hz,              -70.56, dBm,
              271928,Hz,              -70.88, dBm,
              272594,Hz,              -71.35, dBm,
              273260,Hz,              -71.93, dBm,
              273926,Hz,              -72.58, dBm,
              274592,Hz,              -73.17, dBm,
              275258,Hz,              -73.61, dBm,
              275924,Hz,              -73.86, dBm,
              276590,Hz,              -73.93, dBm,
              277256,Hz,              -73.88, dBm,
              277922,Hz,              -73.82, dBm,
              278588,Hz,              -73.80, dBm,
